"","C1","C2","C3","C4","C5","C6","M1","M4","S1","S2","S3","H1","H2","H3","H4","H5","M2","M3"
"P04275",-3.84017813738153,-3.86767590402629,-3.79238884580745,-4.88365836445591,-5.17848975896661,-3.825678842576,-5.91598111936074,-4.90466112415723,-4.79860624494419,-3.82307801108513,-5.61014773646195,-7.15246593752315,-7.89539495677069,-7.55936467410531,-7.8312619962667,-6.35822209057573,-4.41488414344124,-5.07800251200127
"P00751",-3.52678900782843,-3.22955452947881,-3.43115743744031,-3.11734033973686,-2.72296305178453,-3.57797202460361,-2.6175470711885,-2.94849917382645,-2.98254731008101,-2.80041124002645,-2.85355017948658,-3.8670637186609,-3.51457317282976,-3.5511907426596,-4.1087959717956,-3.41962263523988,-3.14423655349757,-3.07800251200127
"P01857",-1.28732669222771,-1.56539629140839,-1.81946930915797,-2.32193694618071,-2.24511683406944,-2.71124362007489,-2.14391965569654,-1.89189400114793,-1.98828134203046,-2.88081932207963,-2.01297315413415,-1.60943411726791,-2.48600402063299,-2.5189504056594,-2.41172310475291,-1.5169198365948,-1.50646769360176,-1.1032692706117
"P01871",-3.16117990467997,-3.88630880824509,-5.09700060839427,-4.67066291858201,-5.4415241648004,-4.59515004439449,-3.73215267568677,-3.77615242649555,-2.67255199892608,-3.35512241842128,-3.41781262933461,-3.64467129732445,-4.41426826703407,-3.82897173386259,-4.34583516909646,-3.40713169105668,-3.05231406405653,-3.16046467219324
"P19823",-3.26246105470067,-3.62818528617167,-4.18388987171349,-3.88926232405204,-3.83483752300614,-3.66993285440184,-3.4651486673242,-3.17427138704452,-3.28115104908674,-3.09730351623575,-2.95907711210944,-2.75158650124097,-3.02092583885455,-2.99089029617272,-2.74804862801771,-3.90756068156617,-3.62397974216423,-3.54748779530249
"P00734",-3.73779596280198,-3.73105645840902,-3.71065464339024,-3.45880979860471,-3.34526621601268,-2.84164494569925,-3.37925328272376,-3.24693505417537,-3.26376219566157,-3.05530705017659,-3.86541595375455,-4.17518601402323,-5.39289461624151,-4.25061196796568,-4.13082227812561,-3.01718517274067,-3.88436942674246,-3.77219408247719
"P02765",-3.43728594604606,-3.406137441715,-4.20718103905063,-3.83205602342857,-3.90969908614784,-4.42895103813328,-3.3823601540203,-3.08918319844736,-3.60544196005323,-3.29953835149493,-3.1073375539783,-2.95279359268679,-3.68594159114174,-3.87924494034381,-3.24030075492409,-3.253885430761,-3.40347938016899,-3.29373120305671
"P69905",-3.89961228367052,-3.89202089650174,-1.92806042426506,-4.03167719221141,-3.97248723312911,-4.05593843310282,-3.48069844554702,-2.43423585803755,-3.45007821314849,-2.69284849517125,-2.4961447863787,-4.15246593752315,-3.48035745749185,-4.34637095077111,-4.19899378076718,-4.51022518402079,-2.85300525583313,-4
"P01042",-3.91021264054222,-3.41857210168716,-4.34857893098311,-3.90932911893913,-3.97238672840645,-3.86300705258973,-4.07136082843837,-4.14029377265067,-3.94710236592666,-3.8779502966391,-3.81282192908111,-3.96264137864313,-4.14050745460722,-3.76140845004995,-4.19899378076718,-3.96133193800715,-3.74830787716643,-3.74013287324489
"P01860",-1.92810580664923,-2.37755180978706,-3.30470866699502,-4.00924801889929,-3.84929925646988,-3.61877057821394,-3.16427678312602,-3.0187081361416,-2.95397211964422,-3.13992587717671,-3.57687636172315,-3.04394148074498,-3.63486740654747,-3.41146597899299,-3.50213839997513,-2.31674545459958,-2.17784494614039,-2.05317065902134
